PTVvol, R100, R50, Dmax
1.8, 	1.5, 7.5, 57.0
3.8, 	1.5, 6.5, 57.0
7.4, 	1.5, 6.0, 58.0
13.2, 	1.5, 5.8, 58.0
22.0, 	1.5, 5.5, 63.0
34.0, 	1.5, 5.3, 68.0
50.0, 	1.5, 5.0, 77.0
70.0,	1.5, 4.8, 86.0
95.0,	1.5, 4.4, 89.0
126.0,	1.5, 4.0, 91.0
163.0,	1.5, 3.7, 94.0
